         6384841 function calls (6246808 primitive calls) in 1127.106 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1022    0.000    0.000    0.008    0.000 {built-in method builtins.next}
      522    0.000    0.000    0.008    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.007    0.007 oinspect.py:8(<module>)
      123    0.000    0.000    0.007    0.000 _distn_infrastructure.py:699(_attach_argparser_methods)
       90    0.000    0.000    0.007    0.000 traitlets.py:828(setup_class)
       91    0.001    0.000    0.007    0.000 traitlets.py:809(setup_class)
        7    0.000    0.000    0.007    0.001 __init__.py:4(<module>)
      104    0.000    0.000    0.007    0.000 _distn_infrastructure.py:1751(_attach_methods)
        1    0.000    0.000    0.007    0.007 kdtree.py:3(<module>)
    31045    0.005    0.000    0.007    0.000 inspect.py:2799(<genexpr>)
     8879    0.007    0.000    0.007    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.007    0.007 _internal.py:6(<module>)
       92    0.001    0.000    0.007    0.000 __init__.py:1338(_preprocess_data)
        1    0.000    0.000    0.007    0.007 containers.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:39(<module>)
       11    0.000    0.000    0.007    0.001 magic_arguments.py:201(__call__)
       11    0.000    0.000    0.007    0.001 magic_arguments.py:139(construct_parser)
      598    0.001    0.000    0.007    0.000 typing.py:608(__init__)
        1    0.000    0.000    0.007    0.007 __init__.py:219(<module>)
        1    0.000    0.000    0.007    0.007 basic.py:2(<module>)
        1    0.000    0.000    0.007    0.007 _internal_utils.py:9(<module>)
        1    0.000    0.000    0.007    0.007 base.py:2(<module>)
        1    0.000    0.000    0.007    0.007 arpack.py:7(<module>)
        1    0.000    0.000    0.007    0.007 named_commands.py:5(<module>)
        1    0.001    0.001    0.007    0.007 __init__.py:58(<module>)
        1    0.000    0.000    0.007    0.007 compat.py:9(<module>)
        1    0.000    0.000    0.007    0.007 extending.py:1(<module>)
       10    0.000    0.000    0.007    0.001 six.py:85(_import_module)
        4    0.000    0.000    0.007    0.002 six.py:117(_resolve)
        1    0.000    0.000    0.007    0.007 _geometric_slerp.py:1(<module>)
        3    0.000    0.000    0.007    0.002 platform.py:1098(machine)
        8    0.000    0.000    0.007    0.001 platform.py:923(uname)
        1    0.000    0.000    0.006    0.006 npydecl.py:1(<module>)
        1    0.000    0.000    0.006    0.006 multiarray.py:7(<module>)
        1    0.000    0.000    0.006    0.006 platform.py:780(_syscmd_uname)
      543    0.000    0.000    0.006    0.000 __init__.py:1396(has_metadata)
     2442    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
